"MeshBlock","Count","AreaUnit","TerritorialAuthority","DHB"
100,0,"North Cape","Far North District","Northland"
200,0,"North Cape","Far North District","Northland"
300,1,"North Cape","Far North District","Northland"
400,0,"North Cape","Far North District","Northland"
502,0,"North Cape","Far North District","Northland"
600,0,"North Cape","Far North District","Northland"
900,0,"North Cape","Far North District","Northland"
1000,0,"Houhora","Far North District","Northland"
1100,0,"Houhora","Far North District","Northland"
1201,0,"Houhora","Far North District","Northland"
1203,0,"Houhora","Far North District","Northland"
1204,0,"Houhora","Far North District","Northland"
1302,0,"Houhora","Far North District","Northland"
1800,1,"Motutangi-Kareponia","Far North District","Northland"
1900,0,"Motutangi-Kareponia","Far North District","Northland"
2000,0,"Motutangi-Kareponia","Far North District","Northland"
2200,0,"Motutangi-Kareponia","Far North District","Northland"
2301,0,"Motutangi-Kareponia","Far North District","Northland"
2302,1,"Motutangi-Kareponia","Far North District","Northland"
2303,0,"Motutangi-Kareponia","Far North District","Northland"
2304,0,"Motutangi-Kareponia","Far North District","Northland"
2400,0,"Motutangi-Kareponia","Far North District","Northland"
2604,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2605,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2606,1,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2607,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2608,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2609,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2610,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2611,1,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2700,1,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
2800,0,"Motutangi-Kareponia","Far North District","Northland"
2900,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3000,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3100,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3200,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3300,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3400,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3501,0,"Taipa Bay-Mangonui","Far North District","Northland"
3502,0,"Taipa Bay-Mangonui","Far North District","Northland"
3503,0,"Taipa Bay-Mangonui","Far North District","Northland"
3504,0,"Taipa Bay-Mangonui","Far North District","Northland"
3505,0,"Taipa Bay-Mangonui","Far North District","Northland"
3506,0,"Taipa Bay-Mangonui","Far North District","Northland"
3600,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3702,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3800,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
3900,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
4000,0,"Karikari Peninsula-Maungataniwha","Far North District","Northland"
4101,0,"Taipa Bay-Mangonui","Far North District","Northland"
4102,0,"Taipa Bay-Mangonui","Far North District","Northland"
4104,0,"Taipa Bay-Mangonui","Far North District","Northland"
4105,0,"Taipa Bay-Mangonui","Far North District","Northland"
