"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",3069.5,2360.3,18.1,2342.2,335.3,373.9
"Feb",4130.2,3312.9,31.1,3281.8,422.7,394.6
"Mar",5438.4,4486.8,51.7,4435.1,545.4,406.2
"Apr",3934.7,3172,36.6,3135.4,424.3,338.4
"May",5081.8,4189.8,50.2,4139.6,541.2,350.9
"Jun",4292.6,3532.7,38.5,3494.2,472.8,287.1
"Jul",4289.9,3504,44.2,3459.8,460.9,325
"Aug",5140,4259.4,54.1,4205.3,566.2,314.4
"Sep",4449.4,3649.4,48.6,3600.8,472.4,327.5
"Oct",4535.7,3714.1,54.2,3659.9,486.1,335.5
"Nov",4555,3695.9,51.8,3644.1,507.6,351.6
"Dec",3591.4,2832.7,40,2792.7,361.6,397.1
